Product code,Pair type,Thumbnail,Detailed image
"ASITHL2020146","M","","exim/backup/images/asithl2020146_1.jpg#{[en]:;}"
"ASITHL3009099","M","","exim/backup/images/asithl3009099_1.jpg#{[en]:;}"
"ASITHL7C22301","A","","exim/backup/images/asithl7c22301_5.jpg#{[en]:;}"
"ASITHL7C22301","A","","exim/backup/images/asithl7c22301_2.jpg#{[en]:;}"
"ASITHL7C22301","A","","exim/backup/images/asithl7c22301_3.jpg#{[en]:;}"
"ASITHL7C22301","A","","exim/backup/images/asithl7c22301_4.jpg#{[en]:;}"
"ASITHL7C22301","A","","exim/backup/images/asithl7c22301_2_uuxp-ek.jpg#{[en]:;}"
"ASITHL7C22301","A","","exim/backup/images/asithl7c22301_3_4gbx-h1.jpg#{[en]:;}"
"ASITHL7C22301","A","","exim/backup/images/asithl7c22301_4_143u-gb.jpg#{[en]:;}"
"ASITHL7C22301","A","","exim/backup/images/asithl7c22301_5_cx5l-wv.jpg#{[en]:;}"
"ASITHL7C22301","M","","exim/backup/images/asithl7c22301_1.jpg#{[en]:;}"
"ASITH109L1899","A","","exim/backup/images/asith109l1899_3_xi21-j0.jpg#{[en]:;}"
"ASITH109L1899","A","","exim/backup/images/asith109l1899_2_jbht-ol.jpg#{[en]:;}"
"ASITH109L1899","A","","exim/backup/images/asith109l1899_2.jpg#{[en]:;}"
"ASITH109L1899","A","","exim/backup/images/asith109l1899_3.jpg#{[en]:;}"
"ASITH109L1899","A","","exim/backup/images/asith109l1899_4.jpg#{[en]:;}"
"ASITH109L1899","A","","exim/backup/images/asith109l1899_5.jpg#{[en]:;}"
"ASITH109L1899","A","","exim/backup/images/asith109l1899_4_k5mi-7z.jpg#{[en]:;}"
"ASITH109L1899","A","","exim/backup/images/asith109l1899_5_8uf8-on.jpg#{[en]:;}"
"ASITH109L1899","M","","exim/backup/images/asith109l1899_1.jpg#{[en]:;}"
"ASITH110N0150","M","","exim/backup/images/asith110n0150_1.jpg#{[en]:;}"
"ASITH110N4623","A","","exim/backup/images/asith110n4623_2.jpg#{[en]:;}"
"ASITH110N4623","A","","exim/backup/images/asith110n4623_3.jpg#{[en]:;}"
